사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Mar-23,2호선,226,사당,60,9,"12,803","4,697","27,902","35,037","80,836","51,583","105,808","75,783","82,502","60,305","53,548","50,127","47,649","61,532","53,405","61,143","56,562","55,617","62,745","56,175","67,552","66,907","71,459","90,683","84,161","132,250","104,232","180,976","73,646","127,495","68,506","74,670","77,038","68,508","70,381","65,769","38,095","41,530","6,066","11,773",6,691,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,227,낙성대(강감찬),35,0,"11,573","2,466","27,046","10,244","90,443","23,817","136,581","46,134","87,981","37,296","47,398","31,697","39,370","25,388","42,101","28,063","42,561","30,108","38,335","31,837","39,320","38,241","43,663","45,568","50,938","64,193","56,818","106,169","32,379","94,866","26,050","59,829","24,872","56,458","19,428","57,379","10,443","36,166","1,846","10,215",1,129,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,228,서울대입구(관악구청),"4,826",36,"28,818","2,674","45,524","14,496","137,266","31,285","188,720","78,776","129,481","72,417","74,505","63,815","63,054","51,016","69,523","54,443","75,827","60,040","67,339","59,861","73,367","70,516","79,834","84,140","93,170","116,570","100,624","184,437","62,824","156,541","53,920","94,060","57,380","87,179","50,946","88,251","27,639","52,433","4,656","20,082",1,"3,521",0,0,0,0,2023-04-03 9:45
Mar-23,2호선,229,봉천,86,5,"15,542","1,668","29,973","7,142","90,129","13,495","129,625","25,889","80,836","22,085","44,695","19,247","35,251","22,494","37,657","24,441","37,301","26,492","31,021","29,396","30,176","39,553","33,876","45,781","32,709","59,919","33,979","91,477","21,536","80,321","17,382","48,869","15,098","45,952","11,741","44,374","5,251","26,772",993,"8,596",1,411,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,230,신림,215,9,"39,217","4,385","74,190","19,420","203,085","29,227","294,603","46,762","179,459","45,489","98,212","42,837","80,565","47,283","84,443","52,186","78,911","59,036","72,933","65,537","71,614","84,218","78,807","106,379","83,003","143,777","85,130","240,387","57,842","215,755","49,095","134,160","46,524","128,434","41,849","119,697","24,175","77,862","4,827","24,632",6,481,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,231,신대방,200,2,"25,014","1,879","35,608","9,262","96,932","16,586","143,556","27,817","88,996","20,438","48,636","18,233","39,732","19,793","39,669","24,142","36,417","26,745","32,569","31,069","31,436","42,047","34,113","49,430","34,876","66,970","36,123","99,896","22,065","88,301","16,669","60,623","13,612","61,865","10,512","59,428","5,269","34,573",961,"9,559",4,197,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,232,구로디지털단지,252,14,"38,297","5,337","56,253","20,068","151,275","83,814","201,815","246,837","125,263","156,593","73,774","63,869","65,333","46,265","70,404","49,491","70,000","62,014","64,251","61,060","66,522","70,756","81,960","85,124","137,900","115,529","225,588","177,947","111,224","145,357","70,455","92,489","60,610","89,398","46,329","87,517","21,514","53,192","3,566","15,217",12,237,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,233,대림(구로구청),665,40,"34,243","3,658","32,182","11,204","72,203","24,304","98,591","60,516","67,294","37,505","41,173","33,471","37,436","35,630","37,735","34,599","36,549","35,016","34,855","34,937","36,570","43,929","39,722","53,427","46,605","65,529","55,928","74,391","28,730","58,303","20,813","40,792","16,851","50,404","11,472","46,581","5,996","23,230",874,"6,095",1,199,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,234,신도림,"3,884",17,"35,476","5,266","54,898","21,522","152,128","44,627","157,768","121,016","98,517","73,033","67,006","65,467","64,582","64,230","70,185","66,635","72,110","70,894","73,162","67,795","78,229","77,267","85,979","91,449","104,909","120,629","130,803","186,508","78,235","135,269","65,081","78,899","67,493","74,278","48,172","71,442","22,364","54,837","2,855","22,890",12,"2,856",0,0,0,0,2023-04-03 9:45
Mar-23,2호선,235,문래,4,0,"4,151","2,145","14,433","11,343","47,917","38,660","53,449","138,689","30,027","64,647","21,629","26,589","21,764","23,904","24,996","25,977","25,957","28,076","25,959","26,031","29,277","28,058","35,878","32,599","62,023","41,422","113,812","62,813","42,471","43,948","28,658","23,469","30,203","20,603","24,467","18,589","11,549","11,567","1,952","3,494",1,93,0,0,0,0,2023-04-03 9:45
